Time, temperature C, humidity %
20, 25.3, 47.6
61, 25.3, 48.8
163, 25.3, 47.7
265, 25.2, 48.2
368, 25.1, 48.3
97, 25.1, 47.6
199, 25.1, 47.8
301, 25.0, 48.0
403, 25.0, 48.3
506, 25.0, 48.2
608, 25.0, 48.0
710, 25.0, 48.0
812, 24.9, 48.1
915, 24.9, 48.2
1017, 24.8, 48.2
1119, 24.9, 48.2
1221, 24.9, 48.2
1323, 24.8, 48.3
1426, 24.8, 48.3
1528, 24.7, 48.4
1630, 24.7, 48.4
1732, 24.7, 48.4
1835, 24.7, 48.4
1937, 24.6, 48.3
2039, 24.6, 48.4
2141, 24.6, 48.5
2244, 24.5, 48.4
2346, 24.5, 48.5
2448, 24.5, 48.5
2550, 24.4, 48.5
2653, 24.5, 48.5
2755, 24.5, 48.6
2857, 24.4, 48.4
2959, 24.4, 48.5
3062, 24.4, 48.5
3164, 24.4, 48.5
3266, 24.4, 48.5
3368, 24.4, 48.6
3471, 24.4, 48.6
3573, 24.3, 48.5
3675, 24.3, 48.6
3777, 24.3, 48.7
3880, 24.3, 48.7
3982, 24.3, 48.6
4084, 24.3, 48.7
4186, 24.3, 48.6
4289, 24.2, 48.6
4391, 24.2, 48.6
4493, 24.2, 48.6
4595, 24.3, 48.5
4698, 24.3, 48.5
4800, 24.3, 48.4
4902, 24.3, 48.5
5004, 24.3, 48.4
5107, 24.2, 48.4
5209, 24.2, 48.4
5311, 24.2, 48.4
5413, 24.2, 48.4
5515, 24.2, 48.5
5618, 24.2, 48.5
5720, 24.2, 48.5
5822, 24.2, 48.5
5924, 24.1, 48.5
6027, 24.1, 48.6
6129, 24.1, 48.5
6231, 24.1, 48.3
6333, 24.1, 48.5
6436, 24.1, 48.3
6538, 24.1, 48.5
6640, 24.1, 48.5
6742, 24.1, 48.5
6845, 24.1, 48.5
6947, 24.1, 48.5
7049, 24.0, 48.5
7151, 24.0, 48.5
7254, 24.0, 48.4
7356, 24.1, 48.5
7458, 24.1, 48.4
7560, 24.0, 48.4
7663, 24.1, 48.4
7765, 24.0, 48.3
7867, 24.0, 48.5
7969, 24.0, 48.3
8072, 24.0, 48.4
8174, 24.0, 48.3
8276, 24.0, 48.3
8378, 24.0, 48.4
8481, 24.0, 48.4
8583, 24.0, 48.4
8685, 24.0, 48.4
8787, 24.0, 48.4
8890, 24.0, 48.4
8992, 24.0, 48.4
9094, 24.0, 48.3
9196, 24.0, 48.4
9299, 24.0, 48.3
9401, 24.0, 48.3
9503, 24.0, 48.3
9605, 24.0, 48.3
9708, 24.0, 48.4
9810, 24.0, 48.4
9912, 24.0, 48.3
10014, 24.0, 48.2
10117, 24.0, 48.3
10219, 23.9, 48.2
10321, 24.0, 48.3
10423, 24.0, 48.3
10526, 24.0, 48.3
10628, 23.9, 48.3
10730, 24.0, 48.3
10832, 23.9, 48.3
10935, 23.9, 48.3
11037, 23.9, 48.4
11139, 23.9, 48.3
11242, 24.0, 48.3
11344, 23.9, 48.3
11446, 23.9, 48.3
11548, 23.9, 48.3
11650, 23.9, 48.3
11753, 23.9, 48.1
11855, 23.9, 48.2
11957, 23.9, 48.2
12059, 23.9, 48.2
12162, 23.9, 48.2
12264, 23.9, 48.3
12366, 23.9, 48.2
12468, 23.9, 48.3
12571, 23.9, 48.2
12673, 23.9, 48.1
12775, 23.9, 48.1
12877, 23.9, 48.1
12980, 23.9, 48.0
13082, 23.9, 48.0
13184, 23.9, 48.0
13286, 23.9, 48.0
13389, 23.9, 48.0
13491, 23.9, 48.0
13593, 23.9, 48.0
13695, 23.9, 47.9
13798, 23.9, 48.0
13900, 23.9, 47.9
14002, 23.9, 47.9
14104, 23.9, 47.8
14207, 23.9, 47.9
14309, 23.9, 47.8
14411, 23.9, 47.9
14513, 23.9, 47.9
14616, 23.9, 47.8
14718, 23.9, 47.8
14820, 23.9, 47.8
14922, 23.9, 47.8
15025, 23.9, 47.7
15127, 23.9, 47.8
15229, 23.9, 47.7
15331, 23.8, 47.7
15434, 23.9, 47.8
15536, 23.9, 47.7
15638, 23.9, 47.7
15740, 23.9, 47.7
15843, 23.9, 47.7
15945, 23.8, 47.7
16047, 23.8, 47.7
16149, 23.8, 47.6
16252, 23.8, 47.5
16354, 23.8, 47.6
16456, 23.8, 47.5
16558, 23.8, 47.5
16660, 23.8, 47.6
16763, 23.8, 47.6
16865, 23.8, 47.4
16967, 23.8, 47.4
17070, 23.8, 47.4
17172, 23.8, 47.5
17274, 23.8, 47.4
17376, 23.8, 47.4
17479, 23.8, 47.4
17581, 23.8, 47.4
17683, 23.8, 47.4
17785, 23.8, 47.4
17888, 23.8, 47.3
17990, 23.8, 47.3
18092, 23.8, 47.4
18194, 23.8, 47.3
18297, 23.8, 47.2
18399, 23.8, 47.3
18501, 23.8, 47.3
18603, 23.9, 47.2
18706, 23.9, 47.3
18808, 23.8, 47.2
18910, 23.8, 47.3
19012, 23.8, 47.2
19115, 23.8, 47.2
19217, 23.8, 47.1
19319, 23.8, 47.0
19421, 23.8, 47.1
19523, 23.8, 47.1
19625, 23.8, 47.1
19728, 23.8, 46.9
19830, 23.8, 47.0
19932, 23.8, 47.1
20034, 23.8, 47.0
20137, 23.8, 47.1
20239, 23.8, 47.1
20341, 23.8, 47.1
20443, 23.8, 47.2
20546, 23.8, 47.1
20648, 23.8, 47.1
20750, 23.8, 47.2
20852, 23.8, 47.1
20955, 23.8, 47.1
21057, 23.7, 47.1
21159, 23.8, 47.0
21261, 23.8, 47.0
21364, 23.8, 47.1
21466, 23.8, 47.1
21568, 23.8, 47.1
21670, 23.8, 47.0
21773, 23.8, 47.0
21875, 23.8, 47.0
21977, 23.8, 47.0
22079, 23.8, 46.8
22182, 23.8, 46.9
22284, 23.8, 47.1
22386, 23.8, 47.1
22488, 23.8, 47.1
22590, 23.8, 47.0
22693, 23.8, 47.0
22795, 23.8, 47.0
22897, 23.8, 46.9
22999, 23.8, 46.9
23102, 23.8, 46.8
23204, 23.8, 46.8
23306, 23.8, 46.8
23408, 23.8, 46.8
23510, 23.8, 46.8
23613, 23.8, 46.7
23715, 23.8, 46.7
23817, 23.8, 46.7
23919, 23.8, 47.0
24022, 23.8, 47.1
24124, 23.9, 47.3
24226, 23.9, 47.3
24328, 23.9, 47.4
24431, 23.9, 47.3
24533, 24.0, 47.3
24635, 24.0, 47.5
24737, 24.0, 47.5
24840, 24.0, 47.9
24942, 24.1, 48.5
25044, 24.1, 48.2
25146, 24.1, 48.4
25249, 24.0, 48.6
25351, 24.1, 48.5
25453, 24.1, 48.8
25555, 24.1, 48.8
25658, 24.1, 48.9
25760, 24.1, 49.3
25862, 24.1, 48.9
25964, 24.2, 49.0
26067, 24.2, 49.6
26169, 24.2, 49.9
26271, 24.2, 50.1
26373, 24.2, 49.6
26476, 24.2, 49.1
26578, 24.1, 49.2
26680, 24.1, 48.6
26782, 24.1, 48.2
26885, 24.1, 48.1
26987, 24.1, 47.6
27089, 24.0, 47.7
27191, 24.1, 47.6
27294, 24.0, 46.8
27396, 24.0, 47.0
27498, 24.0, 46.7
27600, 24.0, 47.0
27703, 24.0, 47.0
27805, 24.0, 46.8
27907, 24.0, 46.7
28009, 24.1, 46.6
28112, 24.0, 46.6
28214, 24.0, 46.3
28316, 24.0, 46.5
28418, 24.0, 46.5
28521, 24.0, 46.2
28623, 24.0, 45.8
