Time, temperature C, humidity %
20, 25.30, 47.60
97, 25.10, 47.60
608, 25.00, 48.00
1119, 24.90, 48.20
1630, 24.70, 48.40
2141, 24.60, 48.50
2653, 24.50, 48.50
3164, 24.40, 48.50
3675, 24.30, 48.60
4186, 24.30, 48.60
4698, 24.30, 48.50
5209, 24.20, 48.40
5720, 24.20, 48.50
6231, 24.10, 48.30
6742, 24.10, 48.50
7254, 24.00, 48.40
7765, 24.00, 48.30
8276, 24.00, 48.30
8787, 24.00, 48.40
9299, 24.00, 48.30
9810, 24.00, 48.40
10321, 24.00, 48.30
10832, 23.90, 48.30
11344, 23.90, 48.30
11855, 23.90, 48.20
12366, 23.90, 48.20
12877, 23.90, 48.10
13389, 23.90, 48.00
13900, 23.90, 47.90
14411, 23.90, 47.90
14922, 23.90, 47.80
15434, 23.90, 47.80
15945, 23.80, 47.70
16456, 23.80, 47.50
16967, 23.80, 47.40
17479, 23.80, 47.40
17990, 23.80, 47.30
18501, 23.80, 47.30
19012, 23.80, 47.20
19523, 23.80, 47.10
20034, 23.80, 47.00
20546, 23.80, 47.10
21057, 23.70, 47.10
21568, 23.80, 47.10
22079, 23.80, 46.80
22590, 23.80, 47.00
23102, 23.80, 46.80
23613, 23.80, 46.70
24124, 23.90, 47.30
24635, 24.00, 47.50
25146, 24.10, 48.40
25658, 24.10, 48.90
26169, 24.20, 49.90
26680, 24.10, 48.60
27191, 24.10, 47.60
27703, 24.00, 47.00
28214, 24.00, 46.30
28725, 24.00, 45.70
29236, 24.00, 46.50
29748, 24.10, 46.70
30259, 24.00, 46.70
30770, 24.00, 46.80
31281, 23.80, 47.00
31793, 23.70, 45.80
32304, 23.70, 45.50
32815, 23.70, 45.10
33326, 23.60, 44.80
33838, 23.60, 44.50
34349, 23.70, 44.40
34860, 23.80, 44.30
35371, 23.90, 44.30
35883, 23.90, 46.80
36394, 24.00, 46.20
36905, 24.00, 45.30
37416, 23.90, 44.30
37928, 23.80, 42.80
38439, 23.80, 42.50
38950, 23.80, 42.30
39461, 23.80, 41.90
39973, 23.80, 40.80
40484, 23.80, 40.50
40995, 23.90, 40.70
41506, 24.00, 40.20
42018, 24.00, 39.80
42529, 24.00, 39.60
43040, 23.90, 39.30
43551, 23.90, 38.70
44063, 23.90, 38.40
44574, 24.10, 38.80
45085, 24.10, 38.70
45596, 24.10, 38.60
46108, 24.20, 38.40
46619, 24.10, 37.70
47130, 24.10, 37.30
47641, 24.10, 37.10
48152, 24.10, 36.90
48664, 24.10, 36.60
49175, 24.10, 36.50
49686, 24.10, 36.30
50197, 24.10, 36.20
50709, 24.20, 36.00
51220, 24.10, 35.70
51731, 24.20, 36.30
52242, 24.10, 35.70
52754, 24.10, 35.40
53265, 24.10, 34.40
53776, 24.20, 33.80
54288, 24.10, 33.10
54798, 24.00, 31.60
55310, 24.00, 32.30
55821, 24.00, 32.30
56332, 24.00, 32.80
56843, 23.90, 33.00
57355, 23.90, 32.90
57866, 24.10, 34.20
58377, 24.10, 34.30
58888, 24.10, 33.80
59400, 24.10, 35.10
59911, 24.10, 36.30
60422, 24.10, 39.40
60933, 24.20, 39.70
61445, 24.20, 40.80
61956, 24.20, 39.90
62467, 24.30, 40.10
62978, 24.30, 40.40
63490, 24.30, 40.40
64001, 24.40, 40.80
64512, 24.40, 40.60
65023, 24.50, 40.70
65535, 24.50, 40.80
66046, 24.60, 40.90
66557, 24.60, 41.20
67068, 24.60, 41.30
67580, 24.60, 41.20
68091, 24.60, 40.80
68602, 24.50, 40.70
69113, 24.50, 40.50
69625, 24.30, 39.90
70136, 24.30, 39.70
70647, 24.20, 39.40
71158, 24.20, 39.00
71670, 24.10, 38.60
72181, 24.00, 38.40
72692, 24.00, 38.00
